No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
176;301.404.311;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;301.445.361;301.404.311;41050;5343811;5302761
177;301.445.361;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=2598 Ack=2146 Win=258 Len=0;;;;;;;;;;;;;;;306.789.172;301.445.361;5343811;218191;5125620
180;306.789.172;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;307.007.363;306.789.172;218191;3833028;3614837
181;307.007.363;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;310.840.391;307.007.363;3833028;87258;3745770
185;310.840.391;192.168.43.133;74.125.24.113;TCP;66;50516  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;310.927.649;310.840.391;87258;315;86943
187;310.927.649;74.125.24.113;192.168.43.133;TCP;66;443  >  50516 [SYN, ACK] Seq=0 Ack=1 Win=21760 Len=0 MSS=1360 WS=32 SACK_PERM=1;;;;;;;;;;;;;;;310.927.964;310.927.649;315;12998;12683
188;310.927.964;192.168.43.133;74.125.24.113;TCP;54;50516  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;;;;;;;;;;;;310.940.962;310.927.964;12998;128462;115464
189;310.940.962;192.168.43.133;74.125.24.113;TLSv1.2;571;Client Hello;;;;;;;;;;;;;;;311.069.424;310.940.962;128462;3115;125347
190;311.069.424;74.125.24.113;192.168.43.133;TCP;54;443  >  50516 [ACK] Seq=1 Ack=518 Win=22272 Len=0;;;;;;;;;;;;;;;311.072.539;311.069.424;3115;277;2838
191;311.072.539;74.125.24.113;192.168.43.133;TLSv1.2;2774;Server Hello;;;;;;;;;;;;;;;311.072.816;311.072.539;277;262;15
192;311.072.816;192.168.43.133;74.125.24.113;TCP;54;50516  >  443 [ACK] Seq=518 Ack=2721 Win=66560 Len=0;;;;;;;;;;;;;;;311.073.078;311.072.816;262;19699;19437
193;311.073.078;74.125.24.113;192.168.43.133;TLSv1.2;1080;Certificate, Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;311.092.777;311.073.078;19699;36062;16363
194;311.092.777;192.168.43.133;74.125.24.113;TLSv1.2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;311.128.839;311.092.777;36062;29707;6355
195;311.128.839;74.125.24.113;192.168.43.133;TCP;54;443  >  50516 [ACK] Seq=3747 Ack=611 Win=22368 Len=0;;;;;;;;;;;;;;;311.158.546;311.128.839;29707;0;29707
196;311.158.546;74.125.24.113;192.168.43.133;TLSv1.2;346;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;311.158.546;311.158.546;0;353;353
197;311.158.546;74.125.24.113;192.168.43.133;TLSv1.2;123;Application Data;;;;;;;;;;;;;;;311.158.899;311.158.546;353;136982;136629
198;311.158.899;192.168.43.133;74.125.24.113;TCP;54;50516  >  443 [ACK] Seq=611 Ack=4108 Win=66560 Len=0;;;;;;;;;;;;;;;311.295.881;311.158.899;136982;222;136760
199;311.295.881;192.168.43.133;74.125.24.113;TLSv1.2;107;Application Data;;;;;;;;;;;;;;;311.296.103;311.295.881;222;384;162
200;311.296.103;192.168.43.133;74.125.24.113;TLSv1.2;110;Application Data;;;;;;;;;;;;;;;311.296.487;311.296.103;384;30809;30425
201;311.296.487;192.168.43.133;74.125.24.113;TLSv1.2;96;Application Data;;;;;;;;;;;;;;;311.327.296;311.296.487;30809;1103;29706
202;311.327.296;192.168.43.133;74.125.24.113;TLSv1.2;92;Application Data;;;;;;;;;;;;;;;311.328.399;311.327.296;1103;583;520
203;311.328.399;192.168.43.133;74.125.24.113;TLSv1.2;273;Application Data;;;;;;;;;;;;;;;311.328.982;311.328.399;583;12249;11666
204;311.328.982;192.168.43.133;74.125.24.113;TLSv1.2;105;Application Data;;;;;;;;;;;;;;;311.341.231;311.328.982;12249;5235;7014
205;311.341.231;74.125.24.113;192.168.43.133;TCP;54;443  >  50516 [ACK] Seq=4108 Ack=720 Win=22464 Len=0;;;;;;;;;;;;;;;311.346.466;311.341.231;5235;912;4323
206;311.346.466;74.125.24.113;192.168.43.133;TCP;54;443  >  50516 [ACK] Seq=4108 Ack=762 Win=22496 Len=0;;;;;;;;;;;;;;;311.347.378;311.346.466;912;27302;26390
207;311.347.378;74.125.24.113;192.168.43.133;TLSv1.2;92;Application Data;;;;;;;;;;;;;;;311.374.680;311.347.378;27302;0;27302
208;311.374.680;74.125.24.113;192.168.43.133;TCP;54;443  >  50516 [ACK] Seq=4146 Ack=800 Win=22528 Len=0;;;;;;;;;;;;;;;311.374.680;311.374.680;0;0;0
